,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,f87be226e26e873275bde549539f70210ffe5e3a129448ae807a319cbdcf7789,f87be226e26e873275bde549539f70210ffe5e3a129448ae807a319cbdcf7789.exe,133497828100000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2421,325,7,13,2,0,0,0,0,0,0,4948,117,2,0,0,0,0,0,0,0,0,6242,144,2,4,0,0,0,0,0,0,0,5080,126,1,1,0,0,0,0,0,0,0,6396,154,3,2,0,0,0,0,0,0,0,6249,149,3,0,0
1,f87be226e26e873275bde549539f70210ffe5e3a129448ae807a319cbdcf7789,f87be226e26e873275bde549539f70210ffe5e3a129448ae807a319cbdcf7789.exe,133497828110000000,1,0,0,0,0,0,0,6357,151,3,2,0,0,0,0,0,0,0,6029,144,1,0,0,0,0,0,0,0,0,6459,151,4,5,0,0,0,0,0,0,0,4437,108,0,1,1,0,0,0,0,0,0,5981,148,5,1,0,0,0,0,0,0,0,3948,97,1,2,0,0,0,0,0,0,0,5381,122,5,5,1,0,0,0,0,0,0,6243,148,2,4,0,0,0,0,0,0,0,4647,118,1,4,0,0,0,0,0,0,0,5167,120,2,0,0
2,f87be226e26e873275bde549539f70210ffe5e3a129448ae807a319cbdcf7789,f87be226e26e873275bde549539f70210ffe5e3a129448ae807a319cbdcf7789.exe,133497828120000000,1,0,0,0,0,0,0,6916,165,5,0,0,0,0,0,0,0,0,6511,154,3,2,0,0,0,0,0,0,0,6649,161,6,0,1,0,0,0,0,0,0,6082,144,4,0,1,0,0,0,0,0,0,5748,138,4,4,0,0,0,1,2,0,0,5003,243,4,6,2,14,0,0,0,142,5146,2088,427,14,43,10,4,20,6,0,54,119247826,8130,1449,10,72,4,46,136,41,0,338,58839623,14393,1695,13,84,13,53,174,40,0,395,105775731,18859,2059,11,72,18
3,f87be226e26e873275bde549539f70210ffe5e3a129448ae807a319cbdcf7789,f87be226e26e873275bde549539f70210ffe5e3a129448ae807a319cbdcf7789.exe,133497828130000000,1,48,150,38,0,351,152529678,18926,2162,9,57,16,48,142,36,0,320,171090919,18676,1923,10,64,16,57,201,45,0,453,103375539,14582,1666,14,66,14,52,169,44,0,393,71583252,14885,1602,13,59,17,42,121,24,0,250,183114972,18656,1943,6,53,14,54,183,43,0,421,152809348,16955,1747,13,81,18,46,151,41,0,343,163579277,15765,1726,12,59,17,51,165,32,0,377,239426665,17390,1934,10,79,20,57,194,48,0,430,126486026,17275,1968,11,64,17,55,178,45,0,417,127185054,17715,1828,12,77,18
4,f87be226e26e873275bde549539f70210ffe5e3a129448ae807a319cbdcf7789,f87be226e26e873275bde549539f70210ffe5e3a129448ae807a319cbdcf7789.exe,133497828140000000,1,25,83,22,0,193,57137534,23476,5918,8,31,8,0,0,2,0,0,0,28369,9506,8,2,2,0,0,0,0,0,0,30773,10313,7,1,0,0,0,1,0,0,0,31632,10602,7,1,1,0,0,0,0,0,0,34371,11521,8,2,0,0,0,0,0,0,0,30529,10229,8,0,0,0,0,0,0,0,0,29499,9885,6,2,0,0,0,0,0,0,0,29582,9912,8,1,0,0,0,0,0,0,0,30223,10130,7,0,0,0,0,0,0,0,0,24252,8127,4,1,0
5,f87be226e26e873275bde549539f70210ffe5e3a129448ae807a319cbdcf7789,f87be226e26e873275bde549539f70210ffe5e3a129448ae807a319cbdcf7789.exe,133497828150000000,1,0,0,0,0,0,0,32154,10779,8,3,2,10,21,6,0,50,8490143,29164,9255,5,11,4,58,187,41,0,409,215146575,22598,2363,17,86,17,33,142,23,0,282,87185740,14943,2008,13,88,12,14,42,8,0,88,74229992,10192,1637,8,74,4,11,43,10,0,95,15520512,10323,1910,6,79,3,0,1,0,0,1,2500,7415,1483,7,71,3,0,0,0,0,0,0,7337,1466,9,66,0,5,27,6,0,54,1856070,8667,1715,16,60,5,31,86,12,0,164,41220068628,20143,2241,9,64,11
6,f87be226e26e873275bde549539f70210ffe5e3a129448ae807a319cbdcf7789,f87be226e26e873275bde549539f70210ffe5e3a129448ae807a319cbdcf7789.exe,133497828160000000,1,3,9,0,0,14,10695480368,8551,1521,11,60,0,0,2,0,0,2,5000,7450,1490,16,56,0,10,64,12,0,121,146306,7315,1430,12,70,7,22,90,21,0,196,17900960,25917,7899,9,43,7,2,5,0,0,9,35532360,7976,1485,13,55,0,1,3,1,0,8,64,7134,1418,14,50,2,10,43,10,0,91,43332,7040,1417,9,54,6,20,86,20,0,186,79672,7393,1314,17,71,6,33,133,35,0,305,164642,17280,4725,13,82,7,0,1,0,0,1,48,28502,9548,7,2,1
7,f87be226e26e873275bde549539f70210ffe5e3a129448ae807a319cbdcf7789,f87be226e26e873275bde549539f70210ffe5e3a129448ae807a319cbdcf7789.exe,133497828170000000,1,0,0,0,0,0,0,31916,10697,7,0,2,0,0,3,0,0,0,32388,10855,10,3,0,0,0,0,0,0,0,32319,10832,7,0,0,0,0,0,0,0,0,32968,11048,8,0,0,0,0,0,0,0,0,32976,11052,7,1,0,0,0,0,0,0,0,33607,11266,10,1,0,17,82,17,0,177,78876,28869,9266,11,28,6,59,175,49,0,419,121427368,20680,2311,10,96,24,58,212,45,0,451,124371696,17630,2072,17,79,20,52,173,37,0,388,1365065046,16876,1883,14,81,20
8,f87be226e26e873275bde549539f70210ffe5e3a129448ae807a319cbdcf7789,f87be226e26e873275bde549539f70210ffe5e3a129448ae807a319cbdcf7789.exe,133497828180000000,1,8,37,6,0,67,58304,7405,1409,9,73,4,0,0,0,0,0,0,7256,1450,5,67,0,5,27,5,0,56,52594,6760,1316,13,71,2,0,0,0,0,8,0,5674,1139,9,49,2,0,0,0,0,0,0,6572,1313,11,54,0,0,0,0,0,0,0,7288,1458,15,59,0,0,0,0,0,0,0,6042,1209,11,38,0,0,0,0,0,0,0,5776,1167,9,44,0,0,0,0,0,0,0,5616,1119,7,44,0,0,0,0,0,0,0,5591,1108,2,55,0
9,f87be226e26e873275bde549539f70210ffe5e3a129448ae807a319cbdcf7789,f87be226e26e873275bde549539f70210ffe5e3a129448ae807a319cbdcf7789.exe,133497828190000000,1,0,0,0,0,0,0,5591,1111,10,37,1,0,0,0,0,0,0,6060,1212,9,51,0,0,0,0,0,0,0,6595,1309,11,55,0,0,0,0,0,0,0,5820,1164,9,33,0,0,0,0,0,0,0,5953,1186,11,40,0,0,0,0,0,0,0,4767,946,5,24,0,0,0,0,0,0,0,5907,1169,14,42,1,0,0,0,0,0,0,6408,1281,17,30,0,0,0,0,0,0,0,7293,1461,18,42,0,0,0,0,0,0,0,6700,1341,11,54,0
