,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,karma-3ff1b90dbad5d78397fdc731c3a3c080d91fc488ac9152793b538b74a1e2d8f3,karma-3ff1b90dbad5d78397fdc731c3a3c080d91fc488ac9152793b538b74a1e2d8f3.exe,133345534900000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,344,80,4,14,3,0,2,0,0,6,2472,4677,795,38,58,8,0,0,0,0,0,0,17645,2498,122,4,2,0,6,0,0,7,7416,19227,2747,133,15,7,1,9,1,0,13,9390,17475,2494,122,12,6
1,karma-3ff1b90dbad5d78397fdc731c3a3c080d91fc488ac9152793b538b74a1e2d8f3,karma-3ff1b90dbad5d78397fdc731c3a3c080d91fc488ac9152793b538b74a1e2d8f3.exe,133345534910000000,1,2,10,2,0,18,49451,17313,2465,121,10,3,2,6,1,0,11,7872006,19215,2687,123,12,5,7,12,2,0,25,31986858,19296,2672,100,16,6,1,4,1,0,8,376145,18239,2580,123,7,2,2,10,2,0,18,804432,17036,2422,115,26,6,1,4,1,0,8,208550,19098,2707,130,7,3,2,8,2,0,16,417100,18727,2655,128,14,5,1,4,1,0,8,208550,17561,2489,120,9,3,2,8,2,0,16,417100,18478,2621,125,13,5,1,4,1,0,8,208550,18546,2625,127,6,3
2,karma-3ff1b90dbad5d78397fdc731c3a3c080d91fc488ac9152793b538b74a1e2d8f3,karma-3ff1b90dbad5d78397fdc731c3a3c080d91fc488ac9152793b538b74a1e2d8f3.exe,133345534920000000,1,2,8,2,0,16,417100,16171,2294,109,13,4,1,4,1,0,8,208550,12515,1774,87,6,2,1,4,1,0,8,208550,18012,2552,121,8,3,2,8,2,0,16,2684900,18453,2570,111,14,6,1,4,1,0,8,159060,18432,2615,125,8,2,1,4,1,0,8,2918740,18933,2631,114,13,4,2,8,2,0,16,425640,17693,2508,121,16,6,1,4,1,0,8,24220,18417,2613,127,7,3,2,8,1,0,12,4522675,17304,2388,88,20,10,1,4,2,0,12,208375,17519,2507,118,10,4
3,karma-3ff1b90dbad5d78397fdc731c3a3c080d91fc488ac9152793b538b74a1e2d8f3,karma-3ff1b90dbad5d78397fdc731c3a3c080d91fc488ac9152793b538b74a1e2d8f3.exe,133345534930000000,1,6,9,1,0,18,26964235,18219,2485,99,12,4,1,4,1,0,8,1528660,17041,2390,110,8,4,5,9,1,0,17,15548231,15217,2087,88,12,6,1,6,2,0,13,501380,16305,2308,109,7,4,1,4,1,0,8,3600,16597,2355,116,6,4,7,10,1,0,20,39021200,16642,2245,84,10,3,2,8,2,0,16,262470,14837,2105,102,10,5,1,4,1,0,8,182720,15280,2165,106,5,2,1,4,1,0,8,627540,16009,2258,107,7,3,1,6,1,0,10,916263,16223,2299,111,9,3
4,karma-3ff1b90dbad5d78397fdc731c3a3c080d91fc488ac9152793b538b74a1e2d8f3,karma-3ff1b90dbad5d78397fdc731c3a3c080d91fc488ac9152793b538b74a1e2d8f3.exe,133345534940000000,1,2,6,2,0,14,1242432,15665,2190,97,11,4,1,4,1,0,8,210260,15665,2219,109,11,3,1,4,1,0,8,105930,16145,2288,111,7,3,2,8,2,0,16,856550,14820,2091,101,12,4,4,7,1,0,14,13505817,15745,2170,93,12,5,1,4,1,0,8,95270,14675,2084,101,6,4,1,4,1,0,8,182100,12702,1798,88,6,3,1,4,1,0,8,1444180,14795,2069,93,8,3,1,4,1,0,8,413560,14386,2034,98,9,3,1,4,1,0,8,651975,13434,1897,88,8,3
5,karma-3ff1b90dbad5d78397fdc731c3a3c080d91fc488ac9152793b538b74a1e2d8f3,karma-3ff1b90dbad5d78397fdc731c3a3c080d91fc488ac9152793b538b74a1e2d8f3.exe,133345534950000000,1,1,4,1,0,8,17125,12323,1754,87,9,4,1,4,1,0,8,1592660,13276,1853,81,7,1,2,6,1,0,10,1375774,12343,1754,83,12,5,0,2,1,0,6,770186,13251,1838,81,5,2,2,7,1,0,12,1202275,13229,1849,83,8,4,1,3,1,0,7,538539,11884,1681,81,7,2,0,2,1,0,5,206066,11022,1564,76,6,2,1,4,1,0,8,458630,11625,1644,79,7,2,1,4,1,0,8,89940,12646,1795,87,5,2,6,9,1,0,18,27372550,13193,1772,66,11,3
6,karma-3ff1b90dbad5d78397fdc731c3a3c080d91fc488ac9152793b538b74a1e2d8f3,karma-3ff1b90dbad5d78397fdc731c3a3c080d91fc488ac9152793b538b74a1e2d8f3.exe,133345534960000000,1,1,4,1,0,8,456165,13573,1921,90,9,4,1,4,1,0,8,387870,12570,1777,84,5,4,1,4,1,0,8,427440,13802,1952,94,8,5,4,7,1,0,14,13911794,12927,1770,73,10,3,1,4,1,0,8,281940,11882,1684,82,6,3,1,4,1,0,8,5051220,12655,1758,49,21,9,1,4,1,0,8,258900,13581,1926,93,7,2,1,4,1,0,8,174875,14837,2103,101,5,2,1,4,1,0,8,179590,14426,2044,99,8,2,2,8,2,0,16,1998175,15534,2173,94,14,6
7,karma-3ff1b90dbad5d78397fdc731c3a3c080d91fc488ac9152793b538b74a1e2d8f3,karma-3ff1b90dbad5d78397fdc731c3a3c080d91fc488ac9152793b538b74a1e2d8f3.exe,133345534970000000,1,1,4,0,0,4,5906260,16234,2170,80,13,6,1,4,2,0,12,1997140,16580,2334,96,13,5,1,4,1,0,8,2201940,16555,2307,101,9,2,1,4,1,0,8,301630,16009,2265,107,9,5,2,6,1,0,11,1386919,16356,2272,102,11,5,1,6,2,0,13,1582831,16019,2275,102,11,7,1,4,1,0,8,188910,16525,2341,115,5,4,2,6,1,0,10,232014,16328,2312,111,11,4,1,6,2,0,14,360926,16999,2410,116,11,6,1,4,1,0,8,215635,16980,2404,117,6,3
8,karma-3ff1b90dbad5d78397fdc731c3a3c080d91fc488ac9152793b538b74a1e2d8f3,karma-3ff1b90dbad5d78397fdc731c3a3c080d91fc488ac9152793b538b74a1e2d8f3.exe,133345534980000000,1,2,8,2,0,16,1112100,16206,2287,106,15,5,8,11,1,0,22,46824355,17047,2285,81,13,7,1,4,1,0,8,190650,17012,2412,117,7,4,1,4,1,0,8,123220,17126,2473,113,13,5,2,9,2,0,17,250711,16482,2349,112,19,6,7,9,0,0,16,44467275,14561,1948,72,11,4,3,7,2,0,16,13905125,14626,2046,93,10,3,1,4,1,0,8,1815380,15832,2212,98,10,5,1,4,1,0,8,83005,16205,2299,110,8,3,1,4,1,0,8,104215,15637,2221,108,6,5
9,karma-3ff1b90dbad5d78397fdc731c3a3c080d91fc488ac9152793b538b74a1e2d8f3,karma-3ff1b90dbad5d78397fdc731c3a3c080d91fc488ac9152793b538b74a1e2d8f3.exe,133345534990000000,1,2,8,2,0,16,280690,14596,2070,102,11,5,1,4,1,0,8,397140,14670,2073,97,6,4,1,4,1,0,8,1511510,15069,2109,96,9,3,1,4,1,0,8,5164725,16448,2233,80,14,5,5,8,1,0,16,19349182,16616,2274,94,11,5,4,7,1,0,14,15477490,15717,2165,92,10,4,1,4,1,0,8,167800,15699,2229,108,9,4,15,18,1,0,36,154176424,16875,2144,52,13,5,1,4,1,0,8,220535,15857,2245,109,6,3,2,8,2,0,16,221615,16502,2346,114,9,5
