,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa.exe,133343857830000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1018,234,12,32,7,0,257,0,0,371,78875035,14973,2441,48,84,17,0,117,0,0,118,147898368,13069,1849,18,33,12,1,95,0,0,108,165561214,9876,1456,32,74,21
1,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa.exe,133343857840000000,1,7,0,0,0,10,395676,13165,971,20,24,9,0,0,0,0,0,0,16745,844,18,5,1,0,0,0,0,0,0,17650,879,19,3,3,0,0,0,0,0,0,15751,789,17,5,1,0,0,0,0,0,0,15319,759,16,4,2,0,0,0,0,0,0,14892,717,16,2,1,0,0,0,0,0,0,15848,765,17,2,0,0,0,0,0,0,0,15822,765,18,0,1,0,0,0,0,0,0,15915,770,17,2,1,0,0,0,0,0,0,13694,661,16,3,1
2,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa.exe,133343857850000000,1,0,0,0,0,0,0,13317,642,15,3,2,0,0,0,0,0,0,14082,727,17,3,1,0,0,0,0,0,0,12713,639,14,6,3,0,0,0,0,0,0,13748,691,14,3,0,0,0,0,0,0,0,11255,571,14,5,2,0,0,0,0,0,0,11445,579,11,2,0,0,0,0,0,0,0,11530,584,13,3,1,0,0,0,0,0,0,13653,690,15,4,1,0,0,0,0,0,0,15158,767,16,2,0,0,0,0,0,0,0,14502,729,16,4,2
3,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa.exe,133343857860000000,1,0,0,0,0,0,0,14251,717,15,6,3,0,0,0,0,0,0,15133,767,15,5,4,0,0,0,0,0,0,16251,814,16,3,2,0,0,0,0,0,0,13273,645,14,2,1,0,0,0,0,0,0,14124,682,15,2,1,0,0,0,0,0,0,15824,766,18,1,2,0,0,0,0,0,0,14007,677,15,3,1,0,0,0,0,0,0,15054,729,15,1,0,0,0,0,0,0,0,16136,778,18,1,1,0,0,0,0,0,0,15630,847,15,2,2
4,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa.exe,133343857870000000,1,1,5,0,0,8,1980,5107,446,7,4,4,0,0,0,0,0,0,13,3,0,2,0,0,0,0,0,0,0,8,2,2,1,2,0,0,0,0,5,0,1248,385,4,13,6,0,0,0,0,0,0,16,4,0,2,0,6,12,0,2,58,442965,2347,465,16,45,9,2,14,1,0,23,5177008,8919,807,12,25,12,2,3,0,0,6,8714040,10364,1102,9,17,8,4,37,3,0,62,25587228,7964,1125,13,41,13,6,36,2,2,78,1520608,7739,1032,14,37,11
5,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa.exe,133343857880000000,1,6,39,3,0,65,3659040,7418,1250,11,26,12,2,19,2,0,36,3256280,6449,691,11,25,12,8,48,3,0,77,1935316,6509,1045,14,21,10,1,7,1,0,15,5457083,7109,707,8,12,7,3,23,1,0,32,3765171,7742,672,8,21,6,1,6,1,0,12,11085732,8161,913,9,28,10,4,28,1,0,42,13578083,9132,921,10,16,9,1,5,1,0,11,6227788,6813,730,8,18,6,4,29,1,0,41,13083644,9264,893,12,28,10,1,3,0,0,4,6490440,9129,930,8,21,9
6,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa.exe,133343857890000000,1,5,36,3,0,61,27786880,7814,1089,11,40,11,8,49,3,0,80,1755326,7223,939,12,42,13,8,53,4,0,88,1966649,8029,1045,13,46,15,4,26,2,0,45,3225846,7703,724,11,28,9,3,19,1,0,29,11959519,8558,1146,11,23,9,6,42,4,0,74,2225716,8072,1161,13,39,13,6,43,3,0,74,2750437,8598,1288,15,31,10,8,49,3,0,78,3280496,9456,1127,14,43,10,6,39,3,0,65,1702976,7063,1118,11,38,13,2,13,1,0,23,3705256,7278,828,10,19,7
7,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa.exe,133343857900000000,1,1,4,0,0,4,5747808,7565,781,6,17,6,6,43,3,0,70,15617676,7161,987,13,29,10,2,15,1,0,24,3836640,9045,883,9,20,8,5,30,2,0,50,13471568,10813,1099,13,33,6,6,44,3,0,70,6608152,8433,1230,15,37,12,6,38,3,0,65,4820888,7618,1076,11,30,10,1,5,1,0,12,5641824,9445,1061,10,15,8,4,33,2,0,50,10947920,10054,1142,13,32,11,8,52,4,0,89,3572131,10009,1215,18,60,14,11,66,5,0,114,1197333,9506,1376,21,72,21
8,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa.exe,133343857910000000,1,5,36,2,0,55,5996026,10869,1079,13,39,9,2,5,1,0,12,14052921,11760,1149,12,25,8,8,58,3,0,89,25070294,9130,1469,17,47,15,3,15,1,0,25,9531204,11571,1030,10,13,10,1,15,1,0,20,42054472,12129,1387,13,26,10,12,75,5,0,124,2587800,10825,1422,22,65,15,6,40,3,0,68,4358644,12456,1314,18,53,14,3,18,1,0,28,11713351,14236,1461,16,35,10,3,23,2,0,38,22090334,13795,1468,17,41,12,5,30,1,0,44,23677656,14459,1426,17,37,11
9,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,wannacry_ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa.exe,133343857920000000,1,2,3,0,0,5,15636184,13918,1207,13,24,8,1,21,1,0,26,100302400,12703,1493,13,25,8,8,55,4,0,91,12643421,9901,1242,16,44,14,5,24,1,0,38,6189620,11822,1394,12,36,11,2,24,2,0,38,19128280,12442,1310,14,33,10,10,64,4,0,106,4837638,11346,1371,19,60,10,10,67,6,0,117,1933492,10621,1541,22,69,14,8,51,3,0,82,4440372,12520,1279,19,55,8,5,32,2,0,52,20310718,12998,1606,17,46,15,3,22,1,0,31,25640886,15288,1566,17,33,11
