,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,yakes_e6c001244a800293036aa24bdbd1900c398dcd129c94150addca798112b6d6de,gmyvuacroic.exe,133343974380000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,336,76,3,10,3,0,0,0,0,3,0,310,67,3,10,2,0,0,0,0,3,0,14534,2097,24,33,7
1,yakes_e6c001244a800293036aa24bdbd1900c398dcd129c94150addca798112b6d6de,gmyvuacroic.exe,133343974390000000,1,0,0,0,0,0,0,6769,918,9,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,yakes_e6c001244a800293036aa24bdbd1900c398dcd129c94150addca798112b6d6de,gmyvuacroic.exe,133343974400000000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,352256,6972,1921,53,47,15,0,0,0,0,5,0,639,134,6,17,7,0,0,0,0,3,0,890,194,7,36,9,3,0,0,0,14,704604,601,132,5,11,3,0,0,0,0,7,0,13046,3169,29,56,23,0,0,0,0,0,0,13067,2442,32,24,9,7,0,0,0,59,2573,11715,2375,72,147,27,0,0,0,0,12,0,2336,579,17,53,15,0,0,0,0,0,0,0,0,0,0,0
3,yakes_e6c001244a800293036aa24bdbd1900c398dcd129c94150addca798112b6d6de,gmyvuacroic.exe,133343974410000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,111,25,1,6,2,0,0,0,0,0,0,0,0,0,0,0
4,yakes_e6c001244a800293036aa24bdbd1900c398dcd129c94150addca798112b6d6de,gmyvuacroic.exe,133343974420000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,111,25,1,3,2
5,yakes_e6c001244a800293036aa24bdbd1900c398dcd129c94150addca798112b6d6de,gmyvuacroic.exe,133343974430000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,111,24,1,5,2
6,yakes_e6c001244a800293036aa24bdbd1900c398dcd129c94150addca798112b6d6de,gmyvuacroic.exe,133343974440000000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,yakes_e6c001244a800293036aa24bdbd1900c398dcd129c94150addca798112b6d6de,gmyvuacroic.exe,133343974450000000,1,0,0,0,0,2,0,110,24,1,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,yakes_e6c001244a800293036aa24bdbd1900c398dcd129c94150addca798112b6d6de,gmyvuacroic.exe,133343974460000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436,249,9,5,3,0,0,0,0,0,0,17616,3079,105,5,1,0,0,0,0,0,0,17164,3002,100,5,1,2,17,2,0,71,29612,8056,1580,53,201,48,1,0,0,0,0,25157174,22219,3227,20,73,31,0,0,0,0,1,0,22550,1318,30,33,12,0,1,0,1,4,14,20556,630,21,35,7,0,0,0,0,0,0,21332,930,30,27,12,0,4,0,0,3,100628696,20239,860,20,19,5
9,yakes_e6c001244a800293036aa24bdbd1900c398dcd129c94150addca798112b6d6de,gmyvuacroic.exe,133343974470000000,1,0,0,0,0,0,0,19328,2848,27,49,18,0,1,0,0,1,25157598,13200,1978,15,96,44,0,0,0,0,0,0,15795,2621,20,48,18,0,93,1,0,96,573509,9721,1905,51,148,20,0,125,0,0,146,778854,9998,1959,57,191,19,0,0,0,0,178,0,8902,1847,57,217,18,0,0,0,0,184,0,8063,1714,54,224,10,0,0,0,0,160,0,9791,2005,63,223,18,0,0,0,0,196,0,7962,1692,55,216,11,0,0,0,0,320,0,11664,2425,66,221,30
